"Rank","College or University","City","State","Acres","Enrollment of Undergraduate Certificate/Degree-Seeking Students (2022-2023)"
"388","William Paterson University of New Jersey","Wayne","NJ","407","6591"
"389","Sullivan County Community College","Loch Sheldrake","NY","405","826"
"390","The University of Findlay","Findlay","OH","403","2257"
"391","University of Arizona","Tucson","AZ","400","37979"
"392","Georgia Institute of Technology-Main Campus","Atlanta","GA","400","17379"
"393","University of Wisconsin-Whitewater","Whitewater","WI","400","8893"
"394","Southeast Missouri State University","Cape Girardeau","MO","400","7010"
"395","Illinois Central College","East Peoria","IL","400","4630"
"396","Oral Roberts University","Tulsa","OK","400","3250"
"397","Lakeland Community College","Kirtland","OH","400","3191"
"398","Calvin University","Grand Rapids","MI","400","2833"
"399","Hawkeye Community College","Waterloo","IA","400","2581"
"400","Jefferson College","Hillsboro","MO","400","2486"
"401","SUNY Polytechnic Institute","Utica","NY","400","1852"
"402","Wheaton College (Massachusetts)","Norton","MA","400","1653"
"403","Hillsdale College","Hillsdale","MI","400","1562"
"404","Kent State University at Trumbull","Warren","OH","400","1471"
"405","Lake Superior State University","Sault Ste Marie","MI","400","1468"
"406","Feather River Community College District","Quincy","CA","400","1243"
"407","Chowan University","Murfreesboro","NC","400","800"
"408","Columbia International University","Columbia","SC","400","775"
"409","Bennington College","Bennington","VT","400","733"
"410","Eastern New Mexico University Ruidoso Branch Community College","Ruidoso","NM","400","362"
"411","Washington County Community College","Calais","ME","400","273"
"412","Western Connecticut State University","Danbury","CT","398","3679"
"413","University of Virginia's College at Wise","Wise","VA","396","993"
"414","University of North Carolina at Asheville","Asheville","NC","394","2803"
"415","Arizona College of Nursing-Tucson","Tucson","AZ","392","516"
"416","Jones County Junior College","Ellisville","MS","390","3474"
"417","California State University-Fresno","Fresno","CA","388","20985"
"418","University of Dayton","Dayton","OH","388","8349"
"419","Chatham University","Pittsburgh","PA","388","1207"
"420","South Dakota State University","Brookings","SD","387","8627"
"421","Stonehill College","Easton","MA","387","2466"
"422","East Georgia State College","Swainsboro","GA","385.61","1514"
"423","Spring Hill College","Mobile","AL","381","932"
"424","Farmingdale State College","Farmingdale","NY","380","8915"
"425","Central Washington University","Ellensburg","WA","380","8650"
"426","Northwest Missouri State University","Maryville","MO","380","4679"
"427","Texas Southmost College","Brownsville","TX","380","3644"
"428","Saint Anselm College","Manchester","NH","380","1955"
"429","Broward College","Fort Lauderdale","FL","376.63","24521"
"430","California State University-Bakersfield","Bakersfield","CA","375","8108"
"431","Messiah University","Mechanicsburg","PA","375","2327"
"432","Northeast Texas Community College","Mount Pleasant","TX","375","1932"
"433","Texas A&M University-Texarkana","Texarkana","TX","375","1758"
"434","Indiana University of Pennsylvania-Main Campus","Indiana","PA","374","6611"
"435","Missouri Southern State University","Joplin","MO","373","3245"
"436","Immaculata University","Immaculata","PA","373","1248"
"437","Babson College","Wellesley","MA","370","2709"
"438","Lebanon Valley College","Annville","PA","370","1618"
"439","Indiana University-Purdue University-Indianapolis","Indianapolis","IN","369","17278"
"440","Joliet Junior College","Joliet","IL","368","8520"
"441","Dallas Baptist University","Dallas","TX","368","2674"
"442","Commonwealth University of Pennsylvania","Bloomsburg","PA","366","9778"
"443","East Tennessee State University","Johnson City","TN","366","9772"
"444","Santa Fe Community College","Santa Fe","NM","366","2068"
"445","Southeastern Louisiana University","Hammond","LA","365","9567"
"446","Voorhees University","Denmark","SC","365","473"
"447","Northern Michigan University","Marquette","MI","360","6322"
"448","State Technical College of Missouri","Linn","MO","360","1958"
"449","Central Lakes College-Brainerd","Brainerd","MN","360","1548"
"450","St. Mary's College of Maryland","St. Mary's City","MD","360","1476"
"451","Northwestern Oklahoma State University","Alva","OK","360","1430"
"452","West Shore Community College","Scottville","MI","360","663"
