"Rank","College or University","City","State","Acres","Enrollment of Undergraduate Certificate/Degree-Seeking Students (2022-2023)"
"1006","Massachusetts Institute of Technology","Cambridge","MA","168","4638"
"1007","Montana State University Billings","Billings","MT","168","2742"
"1008","Southeast Technical College","Sioux Falls","SD","168","2129"
"1009","Emory & Henry College","Emory","VA","168","1080"
"1010","Ulster County Community College","Stone Ridge","NY","167.4","1261"
"1011","Bergen Community College","Paramus","NJ","167","10011"
"1012","Luzerne County Community College","Nanticoke","PA","167","3295"
"1013","Sussex County Community College","Newton","NJ","167","1949"
"1014","Horry-Georgetown Technical College","Conway","SC","166","6781"
"1015","Rosedale Bible College","Irwin","OH","166","76"
"1016","San Joaquin Delta College","Stockton","CA","165","12462"
"1017","Central Connecticut State University","New Britain","CT","165","7500"
"1018","John C Calhoun State Community College","Tanner","AL","165","6549"
"1019","Cuyamaca College","El Cajon","CA","165","6527"
"1020","Clackamas Community College","Oregon City","OR","165","4099"
"1021","Stetson University","DeLand","FL","165","2517"
"1022","Art Center College of Design","Pasadena","CA","165","2113"
"1023","William Carey University","Hattiesburg","MS","165","1772"
"1024","Castleton University","Castleton","VT","165","1585"
"1025","Northern Vermont University","Johnson","VT","165","1266"
"1026","St. Andrews University","Laurinburg","NC","165","780"
"1027","Orange Coast College","Costa Mesa","CA","164","15636"
"1028","St. John Fisher University","Rochester","NY","164","2616"
"1029","Lake Tahoe Community College","South Lake Tahoe","CA","164","2234"
"1030","Kairos University","Sioux Falls","SD","164","38"
"1031","Bentley University","Waltham","MA","163","4070"
"1032","Black Hills State University","Spearfish","SD","163","1933"
"1033","California Baptist University","Riverside","CA","162","8077"
"1034","Catawba Valley Community College","Hickory","NC","162","2576"
"1035","LeTourneau University","Longview","TX","162","1553"
"1036","University of the Southwest","Hobbs","NM","162","369"
"1037","Black Hawk College","Moline","IL","161","2202"
"1038","Chicago State University","Chicago","IL","161","1364"
"1039","Oklahoma City Community College","Oklahoma City","OK","160","9384"
"1040","College of the Desert","Palm Desert","CA","160","8664"
"1041","Imperial Valley College","Imperial","CA","160","6952"
"1042","Idaho State University","Pocatello","ID","160","6830"
"1043","Brightpoint Community College","Chester","VA","160","5438"
"1044","Mission College","Santa Clara","CA","160","4733"
"1045","Scottsdale Community College","Scottsdale","AZ","160","4245"
"1046","Yuba College","Marysville","CA","160","4181"
"1047","Washburn University","Topeka","KS","160","3872"
"1048","Manchester Community College","Manchester","CT","160","3724"
"1049","Napa Valley College","Napa","CA","160","3301"
"1050","Heartland Community College","Normal","IL","160","3013"
"1051","Mohave Community College","Kingman","AZ","160","2791"
"1052","Saint Edward's University","Austin","TX","160","2751"
"1053","Cameron University","Lawton","OK","160","2643"
"1054","Rogers State University","Claremore","OK","160","2507"
"1055","Le Moyne College","Syracuse","NY","160","2459"
"1056","University of Redlands","Redlands","CA","160","2301"
"1057","University of Montevallo","Montevallo","AL","160","2128"
"1058","Barton County Community College","Great Bend","KS","160","2123"
"1059","McDaniel College","Westminster","MD","160","1748"
"1060","Manchester Community College","Manchester","NH","160","1690"
"1061","Richmond Community College","Hamlet","NC","160","1246"
"1062","Lurleen B Wallace Community College","Andalusia","AL","160","1111"
"1063","Huntington University","Huntington","IN","160","1066"
"1064","Marion Military Institute","Marion","AL","160","320"
"1065","Bacone College","Muskogee","OK","160","299"
"1066","Mid-South Christian College","Memphis","TN","160","17"
"1067","Spoon River College","Canton","IL","160","735"
"1068","Cosumnes River College","Sacramento","CA","159","12073"
"1069","Western Oregon University","Monmouth","OR","157","3292"
"1070","Carnegie Institute","Troy","MI","157","104"
"1071","Fayetteville State University","Fayetteville","NC","156","5218"
"1072","Brazosport College","Lake Jackson","TX","156","2898"
"1073","Pacific Lutheran University","Tacoma","WA","156","2253"
"1074","Southwestern Community College","Creston","IA","156","787"
"1075","Richland Community College","Decatur","IL","155","1366"
"1076","Shorter University","Rome","GA","155","1121"
"1077","Bakersfield College","Bakersfield","CA","154","18098"
"1078","University of the Incarnate Word","San Antonio","TX","154","4547"
"1079","Longwood University","Farmville","VA","154","3009"
"1080","Big Bend Community College","Moses Lake","WA","154","1645"
"1081","CET-Salinas","Salinas","CA","154","157"
"1082","Big Bend Technical College","Perry","FL","154","154"
"1083","American River College","Sacramento","CA","153","24054"
"1084","College of San Mateo","San Mateo","CA","153","6019"
"1085","Tiffin University","Tiffin","OH","153","1985"
"1086","Southwestern Oregon Community College","Coos Bay","OR","153","1232"
"1087","Shawnee Community College","Ullin","IL","153","706"
"1088","Montgomery Community College","Troy","NC","153","242"
"1089","Gonzaga University","Spokane","WA","152","5018"
"1090","Southwest Baptist University","Bolivar","MO","152","1475"
"1091","Wilkes Community College","Wilkesboro","NC","151.7","1248"
"1092","University of Colorado Denver/Anschutz Medical Campus","Denver","CO","151","10922"
"1093","Folsom Lake College","Folsom","CA","151","7872"
"1094","Georgian Court University","Lakewood","NJ","150","1166"
"1095","Kean University","Union","NJ","150","10524"
"1096","Prince George's Community College","Largo","MD","150","8618"
"1097","Fayetteville Technical Community College","Fayetteville","NC","150","8521"
"1098","Cuesta College","San Luis Obispo","CA","150","7009"
"1099","Carnegie Mellon University","Pittsburgh","PA","150","7005"
"1100","Indiana State University","Terre Haute","IN","150","6926"
"1101","Texas Southern University","Houston","TX","150","6830"
"1102","Tacoma Community College","Tacoma","WA","150","5113"
"1103","Columbia Basin College","Pasco","WA","150","5104"
"1104","Community College of Denver","Denver","CO","150","5019"
"1105","Chattanooga State Community College","Chattanooga","TN","150","4690"
"1106","University of the Cumberlands","Williamsburg","KY","150","4609"
"1107","Georgia Military College","Milledgeville","GA","150","4134"
"1108","Gavilan College","Gilroy","CA","150","3805"
"1109","Drake University","Des Moines","IA","150","2794"
"1110","Nazareth College","Rochester","NY","150","1978"
"1111","SUNY Morrisville","Morrisville","NY","150","1776"
"1112","East Central Community College","Decatur","MS","150","1638"
"1113","Southeast Kentucky Community & Technical College","Cumberland","KY","150","1484"
"1114","Dordt University","Sioux Center","IA","150","1472"
"1115","Missouri Valley College","Marshall","MO","150","1269"
"1116","University of New Mexico-Valencia County Campus","Los Lunas","NM","150","1218"
"1117","La Sierra University","Riverside","CA","150","1216"
"1118","University of Maine at Presque Isle","Presque Isle","ME","150","1100"
"1119","Southwestern College","Winfield","KS","150","1050"
"1120","Rockford University","Rockford","IL","150","908"
"1121","Pima Medical Institute-Houston","Houston","TX","150","892"
"1122","Franciscan Missionaries of Our Lady University","Baton Rouge","LA","150","844"
"1123","Southwestern Adventist University","Keene","TX","150","659"
"1124","University of South Carolina-Lancaster","Lancaster","SC","150","648"
"1125","Allen University","Columbia","SC","150","603"
"1126","Defiance College","Defiance","OH","150","478"
"1127","Appalachian Bible College","Mount Hope","WV","150","182"
"1128","Crowley's Ridge College","Paragould","AR","150","171"
"1129","Saint Joseph's University","Philadelphia","PA","149","4978"
"1130","Spokane Community College","Spokane","WA","148","4515"
"1131","Glendale Community College","Glendale","AZ","147","9807"
"1132","Las Positas College","Livermore","CA","147","6088"
"1133","Smith College","Northampton","MA","147","2515"
"1134","Brown University","Providence","RI","146","7222"
"1135","Pierce College District","Lakewood","WA","146","6309"
"1136","Paul Quinn College","Dallas","TX","146","938"
"1137","Tyler Junior College","Tyler","TX","145","9045"
"1138","Youngstown State University","Youngstown","OH","145","7741"
"1139","Dodge City Community College","Dodge City","KS","145","1285"
"1140","Lakeland University","Plymouth","WI","145","1281"
"1141","Gwynedd Mercy University","Gwynedd Valley","PA","145","1217"
"1142","Columbia-Greene Community College","Hudson","NY","145","878"
"","Cal Poly Humboldt","Arcata","CA","144","5373"
"1143","San Francisco State University","San Francisco","CA","144","21035"
"1144","Pellissippi State Community College","Knoxville","TN","144","6316"
"1145","Asheville-Buncombe Technical Community College","Asheville","NC","144","4019"
"1146","Dickinson College","Carlisle","PA","144","2083"
"1147","Southwestern Indian Polytechnic Institute","Albuquerque","NM","144","256"
"1148","Community College of Baltimore County","Baltimore","MD","143","13223"
"1149","West Valley College","Saratoga","CA","143","5480"
"1150","Roger Williams University","Bristol","RI","143","3971"
"1151","Western Iowa Tech Community College","Sioux City","IA","143","2441"
"1152","Blue Ridge Community College","Flat Rock","NC","143","1835"
"1153","Terra State Community College","Fremont","OH","143","1095"
"1154","East Central University","Ada","OK","142.3","2584"
"1155","Loyola Marymount University","Los Angeles","CA","142","7138"
"1156","Western Oklahoma State College","Altus","OK","142","918"
"1157","Colorado Mesa University","Grand Junction","CO","141","7654"
"1158","Norco College","Norco","CA","141","7203"
"1159","Mercer University","Macon","GA","141","4568"
"1160","Upper Iowa University","Fayette","IA","141","2203"
"1161","SUNY Adirondack","Queensbury","NY","141","1987"
"1162","Miami University-Middletown","Middletown","OH","141","946"
"1163","Schreiner University","Kerrville","TX","140.25","1056"
"1164","Cape Fear Community College","Wilmington","NC","140","8950"
"1165","Boston University","Boston","MA","140","17668"
"1166","Johns Hopkins University","Baltimore","MD","140","5643"
"1167","Jackson State University","Jackson","MS","140","4905"
"1168","Creighton University","Omaha","NE","140","4261"
"1169","Waukesha County Technical College","Pewaukee","WI","140","4180"
"1170","Red Rocks Community College","Lakewood","CO","140","4146"
"1171","Minnesota State University Moorhead","Moorhead","MN","140","3462"
"1172","Otterbein University","Westerville","OH","140","2097"
"1173","Central Virginia Community College","Lynchburg","VA","140","2040"
"1174","Pomona College","Claremont","CA","140","1699"
"1175","Highland Community College","Highland","KS","140","1353"
"1176","Tusculum University","Greeneville","TN","140","981"
"1177","Culver-Stockton College","Canton","MO","140","854"
"1178","Highland Community College","Freeport","IL","140","791"
"1179","Trinity Baptist College","Jacksonville","FL","140","319"
"1180","Institute of American Indian and Alaska Native Culture and Arts Development","Santa Fe","NM","140","311"
"1181","Wake Technical Community College","Raleigh","NC","139","18002"
"1182","Roane State Community College","Harriman","TN","138","3075"
"1183","Northern Oklahoma College","Tonkawa","OK","138","1905"
"1184","University of Mount Olive","Mount Olive","NC","138","1784"
"1185","San Antonio College","San Antonio","TX","137","15568"
"1186","Northwest Vista College","San Antonio","TX","137","12964"
"1187","Patrick & Henry Community College","Martinsville","VA","137","1383"
"1188","Saint Charles Borromeo Seminary-Overbrook","Wynnewood","PA","137","32"
"1189","Carroll University","Waukesha","WI","136.9","2689"
"1190","Hudson Valley Community College","Troy","NY","136","6189"
"1191","Dalton State College","Dalton","GA","136","4260"
"1192","Walsh University","North Canton","OH","136","1454"
"1193","Lyon College","Batesville","AR","136","489"
"1194","Cerritos College","Norwalk","CA","135","18001"
"1195","Northeastern University","Boston","MA","135","16172"
"1196","Grossmont College","El Cajon","CA","135","10994"
"1197","Antelope Valley Community College District","Lancaster","CA","135","10191"
"1198","Estrella Mountain Community College","Avondale","AZ","135","6088"
"1199","North Carolina Central University","Durham","NC","135","5101"
"1200","University of Cincinnati-Blue Ash College","Blue Ash","OH","135","3927"
"1201","Holyoke Community College","Holyoke","MA","135","3007"
"1202","Hawaii Pacific University","Honolulu","HI","135","2650"
"1203","South Carolina State University","Orangeburg","SC","135","2351"
"1204","Ashland University","Ashland","OH","135","2332"
"1205","Central Maine Community College","Auburn","ME","135","2249"
"1206","St. Mary's University","San Antonio","TX","135","1991"
"1207","Curry College","Milton","MA","135","1804"
"1208","Bryn Mawr College","Bryn Mawr","PA","135","1402"
"1209","King University","Bristol","TN","135","1065"
"1210","Thiel College","Greenville","PA","135","776"
"1211","Goshen College","Goshen","IN","135","704"
"1212","Magdalen College","Warner","NH","135","59"
"1213","Moorpark College","Moorpark","CA","134","10966"
"1214","Norfolk State University","Norfolk","VA","134","5328"
"1215","Florida Gateway College","Lake City","FL","134","2047"
"1216","La Salle University","Philadelphia","PA","133","2275"
"1217","Bates College","Lewiston","ME","133","1790"
"1218","Neumann University","Aston","PA","133","1595"
"1219","LaSalle Tech","Houma","LA","133","106"
"1220","University of Pittsburgh-Pittsburgh Campus","Pittsburgh","PA","132","19954"
"1221","California State University-Chico","Chico","CA","132","12853"
"1222","Moreno Valley College","Moreno Valley","CA","132","7823"
"1223","Columbus State University","Columbus","GA","132","5637"
"1224","Northeast State Community College","Blountville","TN","132","4104"
"1225","Adrian College","Adrian","MI","132","1688"
"1226","University of Saint Francis-Fort Wayne","Fort Wayne","IN","132","1572"
"1227","University of St Francis","Joliet","IL","132","1390"
"1228","Cornerstone University","Grand Rapids","MI","132","1383"
"1229","Canada College","Redwood City","CA","131","4271"
"1230","Edison State Community College","Piqua","OH","131","1333"
"1231","Regis College","Weston","MA","131","1095"
"1232","Thomas Aquinas College","Santa Paula","CA","131","516"
"1233","Clarks Summit University","Clarks Summit","PA","131","376"
"1234","LaGrange College","Lagrange","GA","130","597"
"1235","Ivy Tech Community College","Indianapolis","IN","130","51796"
"1236","Suffolk County Community College","Selden","NY","130","13825"
"1237","Southern Utah University","Cedar City","UT","130","9089"
"1238","Dutchess Community College","Poughkeepsie","NY","130","3631"
"1239","Florida Institute of Technology","Melbourne","FL","130","3114"
"1240","Cisco College","Cisco","TX","130","2797"
"1241","Clover Park Technical College","Lakewood","WA","130","2382"
"1242","South Florida Institute of Technology","Miami","FL","130","2288"
"1243","Walla Walla Community College","Walla Walla","WA","130","2260"
"1244","Southwest Wisconsin Technical College","Fennimore","WI","130","1381"
"1245","University of the Virgin Islands","Charlotte Amalie","VI","130","1325"
"1246","Central College","Pella","IA","130","1135"
"1247","North Central Missouri College","Trenton","MO","130","1113"
"1248","Chattahoochee Valley Community College","Phenix City","AL","130","1101"
"1249","University of Minnesota-Morris","Morris","MN","130","1024"
"1250","Trinity Christian College","Palos Heights","IL","130","783"
"1251","Florida Institute of Technology-Online","Melbourne","FL","130","776"
"1252","Northland College","Ashland","WI","130","508"
"1253","Bryn Athyn College of the New Church","Bryn Athyn","PA","130","271"
"1254","Welch College","Gallatin","TN","130","247"
"1255","Florida National University-Main Campus","Hialeah","FL","129.75","2465"
"1256","University of Wisconsin-La Crosse","La Crosse","WI","128","9137"
"1257","University of Washington-Bothell Campus","Bothell","WA","128","5166"
"1258","Lander University","Greenwood","SC","128","3360"
"1259","Wayne State College","Wayne","NE","128","3057"
"1260","Blue Ridge Community College","Weyers Cave","VA","128","2624"
"1261","Utica University","Utica","NY","128","2526"
"1262","Lenoir Community College","Kinston","NC","128","1244"
"1263","Alma College","Alma","MI","128","1222"
"1264","Oregon State University-Cascades Campus","Bend","OR","128","1040"
"1265","Bryan College-Dayton","Dayton","TN","128","882"
"1266","Salish Kootenai College","Pablo","MT","128","514"
"1267","Metropolitan State University of Denver","Denver","CO","127","14947"
"1268","Lee University","Cleveland","TN","127","2932"
"1269","Robeson Community College","Lumberton","NC","127","1603"
"1270","Cascadia College","Bothell","WA","127","1215"
"1271","Lourdes University","Sylvania","OH","127","749"
"1272","Family of Faith Christian University","Shawnee","OK","127","33"
"1273","El Camino Community College District","Torrance","CA","126","16352"
"1274","Clark Atlanta University","Atlanta","GA","126","3419"
"1275","William Jessup University","Rocklin","CA","126","1123"
"1276","Rust College","Holly Springs","MS","126","731"
"1277","University of Massachusetts-Lowell","Lowell","MA","125","11985"
"1278","University of Denver","Denver","CO","125","5986"
"1279","SUNY Buffalo State University","Buffalo","NY","125","5370"
"1280","Winona State University","Winona","MN","125","5254"
"1281","Merritt College","Oakland","CA","125","4784"
"1282","SUNY Broome Community College","Binghamton","NY","125","3244"
"1283","Baldwin Wallace University","Berea","OH","125","2708"
"1284","Trinity University","San Antonio","TX","125","2491"
"1285","Nash Community College","Rocky Mount","NC","125","1565"
"1286","Limestone University","Gaffney","SC","125","1551"
"1287","Randolph-Macon College","Ashland","VA","125","1476"
"1288","Concord University","Athens","WV","125","1311"
"1289","Wilberforce University","Wilberforce","OH","125","639"
"1290","Pennsylvania State University-Penn State Hazleton","Hazleton","PA","125","470"
"1291","Landmark College","Putney","VT","125","458"
"1292","Multnomah University","Portland","OR","125","375"
"1293","EHOVE Career Center","Milan","OH","125","365"
"1294","Northern Wyoming Community College District","Sheridan","WY","124","1700"
"1295","Northwest College-Medford","Medford","OR","124","67"
"1296","California Institute of Technology","Pasadena","CA","124","982"
"1297","Central Alabama Community College","Alexander City","AL","124","963"
"1298","Northwest College","Powell","WY","124","889"
"1299","Delaware County Community College","Media","PA","123","7992"
"1300","Lynn University","Boca Raton","FL","123","2789"
"1301","Rhodes College","Memphis","TN","123","1966"
"1302","University of Mount Union","Alliance","OH","123","1867"
"1303","Turtle Mountain Community College","Belcourt","ND","123","510"
"1304","Foothill College","Los Altos Hills","CA","122","10193"
"1305","Golden West College","Huntington Beach","CA","122","8728"
"1306","McNeese State University","Lake Charles","LA","122","4928"
"1307","Barry University","Miami","FL","122","2539"
"1308","Copper Mountain Community College","Joshua Tree","CA","122","1059"
"1309","MiraCosta College","Oceanside","CA","121","10094"
"1310","Kentucky Christian University","Grayson","KY","121","448"
"1311","University of Massachusetts-Boston","Boston","MA","120","11749"
"1312","San Diego Miramar College","San Diego","CA","120","10622"
"1313","Los Medanos College","Pittsburg","CA","120","6709"
"1314","Erie Community College","Buffalo","NY","120","6086"
"1315","Rose State College","Midwest City","OK","120","4422"
"1316","Hope College","Holland","MI","120","3173"
"1317","College of the Mainland","Texas City","TX","120","3161"
"1318","Laurel Ridge Community College","Middletown","VA","120","3111"
"1319","Illinois Institute of Technology","Chicago","IL","120","2877"
"1320","Woodland Community College","Woodland","CA","120","2832"
"1321","Fairmont State University","Fairmont","WV","120","2776"
"1322","Florida Southern College","Lakeland","FL","120","2702"
"1323","Bismarck State College","Bismarck","ND","120","2561"
"1324","Occidental College","Los Angeles","CA","120","1935"
"1325","Concordia College at Moorhead","Moorhead","MN","120","1800"
"1326","Kishwaukee College","Malta","IL","120","1718"
"1327","Grinnell College","Grinnell","IA","120","1709"
"1328","Carson-Newman University","Jefferson City","TN","120","1426"
"1329","Freed-Hardeman University","Henderson","TN","120","1384"
"1330","Chipola College","Marianna","FL","120","1246"
"1331","Grays Harbor College","Aberdeen","WA","120","1220"
"1332","Concordia University-Nebraska","Seward","NE","120","1138"
"1333","Oklahoma Panhandle State University","Goodwell","OK","120","1124"
"1334","Hastings College","Hastings","NE","120","918"
"1335","Pierpont Community and Technical College","Fairmont","WV","120","917"
"1336","Manchester University","North Manchester","IN","120","914"
"1337","Edgecombe Community College","Tarboro","NC","120","908"
"1338","Colby Community College","Colby","KS","120","870"
"1339","Brevard College","Brevard","NC","120","731"
"1340","Thomas College","Waterville","ME","120","673"
"1341","Glen Oaks Community College","Centreville","MI","120","565"
"1342","Wabash Valley College","Mount Carmel","IL","120","496"
"1343","Howard Community College","Columbia","MD","119","6905"
"1344","Oxnard College","Oxnard","CA","118","5635"
"1345","York Technical College","Rock Hill","SC","118","3494"
"1346","South Dakota School of Mines and Technology","Rapid City","SD","118","2047"
"1347","Wartburg College","Waverly","IA","118","1402"
"1348","Albright College","Reading","PA","118","1276"
"1349","Ottawa University-Ottawa","Ottawa","KS","118","851"
"1350","Hillsborough Community College","Tampa","FL","117.27","19474"
"1351","Utah Tech University","Saint George","UT","117","8606"
"1352","Winston-Salem State University","Winston-Salem","NC","117","4449"
"1353","Northeast Alabama Community College","Rainsville","AL","117","1565"
"1354","Whitman College","Walla Walla","WA","117","1472"
"1355","Aquinas College","Grand Rapids","MI","117","1107"
"1356","Mountain Gateway Community College","Clifton Forge","VA","117","448"
"1357","Cape Cod Community College","West Barnstable","MA","116","1998"
"1358","Reed College","Portland","OR","116","1494"
"1359","Oregon Health & Science University","Portland","OR","116","752"
"1360","Temple University","Philadelphia","PA","115","23697"
"1361","Santa Fe College","Gainesville","FL","115","11038"
"1362","Salem State University","Salem","MA","115","4592"
"1363","University of Hawaii at Hilo","Hilo","HI","115","2381"
"1364","Augustana College","Rock Island","IL","115","2274"
"1365","Dyersburg State Community College","Dyersburg","TN","115","1863"
"1366","Marywood University","Scranton","PA","115","1793"
"1367","Hawaii Community College","Hilo","HI","115","1456"
"1368","Heidelberg University","Tiffin","OH","115","913"
"1369","Eastern Shore Community College","Melfa","VA","115","409"
"1370","Lamar Community College","Lamar","CO","115","394"
"1371","University of Puerto Rico-Utuado","Utuado","PR","115","344"
"1372","South University-Richmond","Glen Allen","VA","115","274"
"1373","Palm Beach State College","Lake Worth","FL","114","20378"
"1374","Madera Community College","Madera","CA","114","4204"
"1375","Alvin Community College","Alvin","TX","114","3151"
"1376","Piedmont Virginia Community College","Charlottesville","VA","114","2954"
"1377","Mississippi University for Women","Columbus","MS","114","1701"
"1378","Eastern University","Saint Davids","PA","114","1692"
"1379","Spokane Falls Community College","Spokane","WA","113","3638"
"1380","Lipscomb University","Nashville","TN","113","2950"
"1381","Ave Maria University","Ave Maria","FL","113","1230"
"1382","Cairn University-Langhorne","Langhorne","PA","113","780"
"1383","Long Beach City College","Long Beach","CA","112","20670"
"1384","De Anza College","Cupertino","CA","112","14294"
"1385","Delaware Technical Community College-Terry","Dover","DE","112","10030"
"1386","Ventura College","Ventura","CA","112","9451"
"1387","Rowan College at Burlington County","Mount Laurel","NJ","112","5828"
"1388","Saint Norbert College","De Pere","WI","112","1784"
"1389","Pennsylvania State University-Penn State Brandywine","Media","PA","112","1189"
"1390","Washington College","Chestertown","MD","112","935"
"1391","Monmouth College","Monmouth","IL","112","761"
"1392","Logan University","Chesterfield","MO","112","288"
"1393","Skyline College","San Bruno","CA","111","6038"
"1394","Muskegon Community College","Muskegon","MI","111","2701"
"1395","Westmont College","Santa Barbara","CA","111","1284"
"1396","Trinity International University-Florida","Miami","FL","111","66"
"1397","Cypress College","Cypress","CA","110","11865"
"1398","The University of Tampa","Tampa","FL","110","9593"
"1399","Tulane University of Louisiana","New Orleans","LA","110","8490"
"1400","Triton College","River Grove","IL","110","6292"
"1401","North Central Texas College","Gainesville","TX","110","5457"
"1402","Volunteer State Community College","Gallatin","TN","110","5331"
"1403","Naugatuck Valley Community College","Waterbury","CT","110","4216"
"1404","South Puget Sound Community College","Olympia","WA","110","3611"
"1405","Oklahoma State University-Oklahoma City","Oklahoma City","OK","110","3574"
"1406","Skagit Valley College","Mount Vernon","WA","110","2763"
"1407","Widener University","Chester","PA","110","2513"
"1408","Eastern Oregon University","La Grande","OR","110","2262"
"1409","Northwest-Shoals Community College","Muscle Shoals","AL","110","2026"
"1410","Alexandria Technical & Community College","Alexandria","MN","110","1421"
"1411","Clovis Community College","Clovis","NM","110","1334"
"1412","Juniata College","Huntingdon","PA","110","1116"
"1413","Webber International University","Babson Park","FL","110","1093"
"1414","Spartanburg Methodist College","Spartanburg","SC","110","1063"
"1415","University of Jamestown","Jamestown","ND","110","968"
"1416","Life University","Marietta","GA","110","910"
"1417","West Virginia Wesleyan College","Buckhannon","WV","110","886"
"1418","Haywood Community College","Clyde","NC","110","803"
"1419","Hiram College","Hiram","OH","110","737"
"1420","New College of Florida","Sarasota","FL","110","669"
"1421","Hannibal-LaGrange University","Hannibal","MO","110","397"
"1422","Medina County Career Center","Medina","OH","110","32"
"1423","Riverside City College","Riverside","CA","108","16317"
"1424","Columbus State Community College","Columbus","OH","108","16212"
"1425","Saint Louis Community College","Bridgeton","MO","108","11240"
"1426","Temple College","Temple","TX","108","3198"
"1427","George Fox University","Newberg","OR","108","2495"
"1428","Benedictine University","Lisle","IL","108","2026"
"1429","Hill College","Hillsboro","TX","108","1925"
"1430","Clark State College","Springfield","OH","107","3117"
"1431","West Hills College-Lemoore","Lemoore","CA","107","3004"
"1432","Lawrence Technological University","Southfield","MI","107","1864"
"1433","Lake Forest College","Lake Forest","IL","107","1724"
"1434","Jamestown Community College","Jamestown","NY","107","1596"
"1435","University of Northwestern-St Paul","Saint Paul","MN","107","1512"
"1436","Lenoir-Rhyne University","Hickory","NC","107","1393"
"1437","Clarendon College","Clarendon","TX","107","1319"
"1438","Greenfield Community College","Greenfield","MA","107","1073"
"1439","Jackson State Community College","Jackson","TN","106.7","2419"
"1440","Santa Clara University","Santa Clara","CA","106","6103"
"1441","Orange Technical College-Mid Florida Campus","Orlando","FL","106","1223"
"1442","Pennsylvania State University-Penn State Mont Alto","Mont Alto","PA","106","626"
"1443","Orange Technical College","Orlando","FL","106","107"
"1444","Los Angeles Valley College","Valley Glen","CA","105","11706"
"1445","Allan Hancock College","Santa Maria","CA","105","7497"
"1446","Bristol Community College","Fall River","MA","105","4920"
"1447","Providence College","Providence","RI","105","3959"
"1448","Azusa Pacific University","Azusa","CA","105","3344"
"1449","Cleveland State Community College","Cleveland","TN","105","2042"
"1450","Wagner College","Staten Island","NY","105","1638"
"1451","Carl Sandburg College","Galesburg","IL","105","1107"
"1452","Centenary University","Hackettstown","NJ","105","1015"
"1453","MidAmerica Nazarene University","Olathe","KS","105","975"
"1454","Saint Augustine's University","Raleigh","NC","105","937"
"1455","Massachusetts College of Liberal Arts","North Adams","MA","105","760"
"1456","Stillman College","Tuscaloosa","AL","105","727"
"1457","Pennsylvania State University-Penn State Beaver","Monaca","PA","105","503"
"1458","Soka University of America","Aliso Viejo","CA","105","445"
"1459","Ottawa University-Online","Ottawa","KS","105","101"
"1460","University of Wisconsin-Milwaukee","Milwaukee","WI","104","17076"
"1461","San Diego Mesa College","San Diego","CA","104","14882"
"1462","Citrus College","Glendora","CA","104","8139"
"1463","Georgetown University","Washington","DC","104","7343"
"1464","Linn-Benton Community College","Albany","OR","104","4196"
"1465","Oklahoma City University","Oklahoma City","OK","104","1344"
"1466","Georgetown College","Georgetown","KY","104","1204"
"1467","Peru State College","Peru","NE","104","1186"
"1468","Fresno City College","Fresno","CA","103","18481"
"1469","Salt Lake Community College","Salt Lake City","UT","103","17290"
"1470","Navarro College","Corsicana","TX","103","6277"
"1471","Southern University at Shreveport","Shreveport","LA","103","2069"
"1472","Madonna University","Livonia","MI","103","1693"
"1473","Thomas More University","Crestview Hills","KY","103","1420"
"1474","Lancaster Bible College","Lancaster","PA","103","1286"
"1475","St. John's University-New York","Queens","NY","102","10081"
"1476","University of Valley Forge","Phoenixville","PA","102","489"
"1477","Anoka-Ramsey Community College","Coon Rapids","MN","101.5","4017"
"1478","Clark College","Vancouver","WA","101","5441"
"1479","United States Coast Guard Academy","New London","CT","100","1037"
"1480","Valley Forge Military College","Wayne","PA","100","84"
"1481","Kellogg Community College","Battle Creek","MI","100","2502"
"1482","Georgia State University","Atlanta","GA","100","28439"
"1483","College of Southern Nevada","Las Vegas","NV","100","27254"
"1484","St Petersburg College","St. Petersburg","FL","100","18984"
"1485","Keiser University-Ft Lauderdale","Fort Lauderdale","FL","100","16649"
"1486","Diablo Valley College","Pleasant Hill","CA","100","14387"
"1487","Georgia State University-Perimeter College","Atlanta","GA","100","12980"
"1488","Glendale Community College","Glendale","CA","100","9350"
"1489","Daytona State College","Daytona Beach","FL","100","8884"
"1490","Bellevue College","Bellevue","WA","100","7823"
"1491","State College of Florida-Manatee-Sarasota","Bradenton","FL","100","7251"
"1492","Saint Cloud State University","Saint Cloud","MN","100","5395"
"1493","Southwest Tennessee Community College","Memphis","TN","100","4928"
"1494","Massasoit Community College","Brockton","MA","100","3635"
"1495","Houston Baptist University","Houston","TX","100","2814"
"1496","Northwestern Michigan College","Traverse City","MI","100","2689"
"1497","Owensboro Community and Technical College","Owensboro","KY","100","2551"
"1498","Coastal Bend College","Beeville","TX","100","2236"
"1499","Minot State University","Minot","ND","100","2168"
"1500","Trinity College","Hartford","CT","100","2141"
"1501","Union College","Schenectady","NY","100","2077"
"1502","Springfield College","Springfield","MA","100","2002"
"1503","Umpqua Community College","Roseburg","OR","100","1955"
"1504","Rowan College of South Jersey-Cumberland Campus","Vineland","NJ","100","1951"
"1505","Vernon College","Vernon","TX","100","1937"
"1506","Johnson & Wales University-Online","Providence","RI","100","1838"
"1507","Augustana University","Sioux Falls","SD","100","1759"
"1508","Southside Virginia Community College","Alberta","VA","100","1695"
